timeGFP,GFPmean,GFPstd
0,0.507,2.218
4.98,0.504,2.068
10.02,0.5,2.151
15,0.567,2.158
19.98,0.518,2.201
25.02,0.663,2.393
30,0.591,2.057
34.98,0.671,2.267
40.02,0.606,2.031
45,0.554,2.009
49.98,0.511,2.238
55.02,0.537,2.382
60,0.543,1.976
64.98,0.564,2.365
70.02,0.393,1.97
75,0.417,1.971
79.98,0.454,2.011
85.02,0.437,2.011
90,0.387,1.915
94.98,0.406,1.947
100.02,0.492,2.235
105,0.406,2.149
109.98,0.448,2.159
115.02,0.43,2.299
120,0.424,1.782
124.98,0.384,1.804
130.02,0.441,2.289
135,0.46,1.882
139.98,0.363,1.962
145.02,0.44,2.278
150,0.342,1.882
154.98,0.399,1.837
160.02,0.432,2.193
165,0.523,2.221
169.98,0.463,2.165
175.02,0.424,2.209
180,0.409,1.805
184.98,0.399,1.843
190.02,0.329,1.794
195,0.337,2.043
199.98,0.457,2.102
205.02,0.398,1.805
210,0.415,1.668
214.98,0.567,1.948
220.02,0.929,2.116
225,0.952,2.019
229.98,1.251,2.188
235.02,1.284,2.17
240,1.568,2.248
244.98,1.879,2.267
250.02,2.152,2.427
255,2.392,2.466
259.98,2.533,2.497
265.02,3.007,2.75
270,3.38,2.876
274.98,3.753,2.778
280.02,4.062,2.966
285,4.586,3.109
289.98,4.653,3.087
295.02,5.34,3.506
300,5.612,3.515
304.98,5.789,3.673
310.02,6.323,3.711
315,6.098,3.598
319.98,6.617,3.909
325.02,6.971,4.034
330,7.537,4.153
334.98,7.969,4.25
340.02,8.027,4.298
345,7.84,4.225
349.98,8.052,4.402
355.02,8.334,4.558
360,8.84,4.45
364.98,9.321,4.806
370.02,8.81,4.723
375,9.278,5.025
379.98,9.865,4.984
385.02,10.249,5.217
390,10.495,5.501
394.98,10.605,5.469
400.02,10.184,5.491
405,10.788,5.553
409.98,10.433,5.542
415.02,10.747,5.566
420,10.666,5.443
424.98,11.046,5.666
430.02,11.195,5.467
435,11.578,5.751
439.98,12.028,5.76
445.02,12.384,5.829
450,12.397,5.9
454.98,12.703,5.978
460.02,12.377,6.018
465,13.067,6.04
469.98,12.904,6.071
475.02,13.137,6.157
480,13.397,6.115
484.98,13.43,6.117
490.02,13.892,6.313
495,14.186,6.378
499.98,13.948,6.36
505.02,14.321,6.406
510,14.071,6.302
514.98,14.502,6.335
520.02,14.449,6.336
525,14.608,6.29
529.98,14.441,6.312
535.02,14.881,6.303
540,14.975,6.408
544.98,14.803,6.332
550.02,15.417,6.454
555,15.365,6.634
559.98,15.163,6.559
565.02,15.324,6.683
570,15.348,6.874
574.98,15.481,6.922
580.02,15.481,6.918
585,15.503,7.029
589.98,15.507,7.168
595.02,15.86,7.292
600,16.063,7.299
604.98,15.868,7.194
610.02,15.756,7.189
615,15.467,7.189
619.98,15.814,7.036
625.02,15.86,7.149
630,15.642,7.221
634.98,15.252,7.174
640.02,15.677,7.427
645,15.48,7.445
649.98,15.541,7.528
655.02,15.637,7.435
660,15.716,7.433
664.98,15.003,7.424
670.02,14.453,7.23
675,15.074,7.094
679.98,15.745,7.34
685.02,16.401,7.579
690,15.627,7.613
694.98,16.068,7.707
700.02,16.706,7.81
705,15.713,7.701
709.98,15.613,7.595
715.02,15.28,7.44
720,13.762,7.268
724.98,14.252,7.22
730.02,13.466,6.767
735,12.671,6.636
739.98,12.356,6.471
745.02,11.423,6.365
750,10.435,6.013
754.98,10.433,5.82
760.02,10.289,5.606
765,9.303,5.333
769.98,8.9,5.023
775.02,8.075,4.768
780,8.285,4.72
784.98,8.401,4.727
790.02,8.144,4.642
795,7.447,4.387
799.98,7.165,4.255
805.02,6.985,4.293
810,6.941,4.136
814.98,6.49,3.976
820.02,6.404,3.85
825,6.047,3.741
829.98,5.931,3.722
835.02,5.809,3.664
840,5.468,3.48
844.98,5.492,3.49
850.02,5.384,3.445
855,5.268,3.388
859.98,5.094,3.272
865.02,5.048,3.225
870,4.913,3.219
874.98,4.863,3.191
880.02,4.678,3.102
885,4.679,3.139
889.98,4.374,3.108
895.02,4.347,3.025
900,4.105,2.849
904.98,4.099,2.846
910.02,3.718,2.774
915,3.823,2.741
919.98,3.85,2.745
925.02,3.778,2.662
930,3.684,2.638
934.98,3.693,2.792
940.02,3.604,2.724
945,3.363,2.59
949.98,3.396,2.584
955.02,3.081,2.494
960,3.144,2.418
964.98,3.029,2.441
970.02,3.147,2.451
975,3.127,2.411
979.98,3.039,2.353
985.02,2.808,2.208
990,2.857,2.226
994.98,2.839,2.241
1000.02,2.824,2.226
1005,2.699,2.158
1009.98,2.676,2.142
1015.02,2.627,2.077
1020,2.498,2.061
1024.98,2.45,1.973
1030.02,2.508,2.004
1035,2.459,1.987
1039.98,2.365,1.942
1045.02,2.382,1.937
1050,2.36,1.887
1054.98,2.289,1.942
1060.02,2.262,1.916
1065,2.28,1.913
1069.98,2.128,1.846
1075.02,2.036,1.8
1080,2.141,1.802
1084.98,2.109,1.773
1090.02,2.036,1.72
1095,2.075,1.758
1099.98,1.93,1.772
1105.02,1.986,1.737
1110,1.941,1.692
1114.98,1.952,1.706
1120.02,1.925,1.654
1125,1.868,1.65
1129.98,1.878,1.677
1135.02,1.798,1.632
1140,1.835,1.615
1144.98,1.865,1.615
